Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred,Year
Desert Eagle,Directive,Restricted,Gamma 2 Case,,,,,,2016.0
Tec-9,Fuel Injector,Classified,Gamma 2 Case,,,,,,2016.0
MP9,Airlock,Classified,Gamma 2 Case,,,,,,2016.0
AUG,Syd Mead,Classified,Gamma 2 Case,,,,,,2016.0
AK-47,Neon Revolution,Covert,Gamma 2 Case,,,,,,2016.0
FAMAS,Roll Cage,Covert,Gamma 2 Case,,,,,,2016.0
P2000,Turf,Mil-Spec,Glove Case,,,,,,2016.0
MAG-7,Sonar,Mil-Spec,Glove Case,,,,,,2016.0
MP9,Sand Scale,Mil-Spec,Glove Case,,,,,,2016.0
Galil AR,Black Sand,Mil-Spec,Glove Case,,,,,,2016.0
MP7,Cirrus,Mil-Spec,Glove Case,,,,,,2016.0
Glock-18,Ironwork,Mil-Spec,Glove Case,,,,,,2016.0
CZ75-Auto,Polymer,Mil-Spec,Glove Case,,,,,,2016.0
USP-S,Cyrex,Restricted,Glove Case,,,,,,2016.0
Nova,Gila,Restricted,Glove Case,,,,,,2016.0
M4A1-S,Flashback,Restricted,Glove Case,,,,,,2016.0
G3SG1,Stinger,Restricted,Glove Case,,,,,,2016.0
Dual Berettas,Royal Consorts,Restricted,Glove Case,,,,,,2016.0
Sawed-Off,Wasteland Princess,Classified,Glove Case,,,,,,2016.0
P90,Shallow Grave,Classified,Glove Case,,,,,,2016.0
FAMAS,Mecha Industries,Classified,Glove Case,,,,,,2016.0
M4A4,Buzz Kill,Covert,Glove Case,,,,,,2016.0
SSG 08,Dragonfire,Covert,Glove Case,,,,,,2016.0
PP-Bizon,Jungle Slipstream,Mil-Spec,Spectrum Case,,,,,,2017.0
SCAR-20,Blueprint,Mil-Spec,Spectrum Case,,,,,,2017.0
Desert Eagle,Oxide Blaze,Mil-Spec,Spectrum Case,,,,,,2017.0
Five-SeveN,Capillary,Mil-Spec,Spectrum Case,,,,,,2017.0
MP7,Akoben,Mil-Spec,Spectrum Case,,,,,,2017.0
P250,Ripple,Mil-Spec,Spectrum Case,,,,,,2017.0
Sawed-Off,Zander,Mil-Spec,Spectrum Case,,,,,,2017.0
Galil AR,Crimson Tsunami,Restricted,Spectrum Case,,,,,,2017.0
M249,Emerald Poison Dart,Restricted,Spectrum Case,,,,,,2017.0
MAC-10,Last Dive,Restricted,Spectrum Case,,,,,,2017.0
UMP-45,Scaffold,Restricted,Spectrum Case,,,,,,2017.0
XM1014,Seasons,Restricted,Spectrum Case,,,,,,2017.0
AWP,Fever Dream,Classified,Spectrum Case,,,,,,2017.0
CZ75-Auto,Xiangliu,Classified,Spectrum Case,,,,,,2017.0
M4A1-S,Decimator,Classified,Spectrum Case,,,,,,2017.0
AK-47,Bloodsport,Covert,Spectrum Case,,,,,,2017.0
USP-S,Neo-Noir,Covert,Spectrum Case,,,,,,2017.0
USP-S,Blueprint,Mil-Spec,Operation Hydra Case,,,,,,2017.0
FAMAS,Macabre,Mil-Spec,Operation Hydra Case,,,,,,2017.0
M4A1-S,Briefing,Mil-Spec,Operation Hydra Case,,,,,,2017.0
MAC-10,Aloha,Mil-Spec,Operation Hydra Case,,,,,,2017.0
MAG-7,Hard Water,Mil-Spec,Operation Hydra Case,,,,,,2017.0
Tec-9,Cut Out,Mil-Spec,Operation Hydra Case,,,,,,2017.0
UMP-45,Metal Flowers,Mil-Spec,Operation Hydra Case,,,,,,2017.0
AK-47,Orbit Mk01,Restricted,Operation Hydra Case,,,,,,2017.0
P2000,Woodsman,Restricted,Operation Hydra Case,,,,,,2017.0
P250,Red Rock,Restricted,Operation Hydra Case,,,,,,2017.0
P90,Death Grip,Restricted,Operation Hydra Case,,,,,,2017.0
SSG 08,Death's Head,Restricted,Operation Hydra Case,,,,,,2017.0
Dual Berettas,Cobra Strike,Classified,Operation Hydra Case,,,,,,2017.0
Galil AR,Sugar Rush,Classified,Operation Hydra Case,,,,,,2017.0
M4A4,Hellfire,Classified,Operation Hydra Case,,,,,,2017.0
Five-SeveN,Hyper Beast,Covert,Operation Hydra Case,,,,,,2017.0
AWP,Oni Taiji,Covert,Operation Hydra Case,,,,,,2017.0
MAC-10,Oceanic,Mil-Spec,Spectrum 2 Case,,,,,,2017.0
Sawed-Off,Morris,Mil-Spec,Spectrum 2 Case,,,,,,2017.0
SCAR-20,Jungle Slipstream,Mil-Spec,Spectrum 2 Case,,,,,,2017.0
Five-SeveN,Capillary,Mil-Spec,Spectrum 2 Case,,,,,,2017.0
AUG,Triqua,Mil-Spec,Spectrum 2 Case,,,,,,2017.0
G3SG1,Hunter,Mil-Spec,Spectrum 2 Case,,,,,,2017.0
Tec-9,Cracked Opal,Mil-Spec,Spectrum 2 Case,,,,,,2017.0
Glock-18,Off World,Mil-Spec,Spectrum 2 Case,,,,,,2017.0
MP9,Goo,Restricted,Spectrum 2 Case,,,,,,2017.0
SG 553,Phantom,Restricted,Spectrum 2 Case,,,,,,2017.0
XM1014,Ziggy,Restricted,Spectrum 2 Case,,,,,,2017.0
UMP-45,Exposure,Restricted,Spectrum 2 Case,,,,,,2017.0
CZ75-Auto,Tacticat,Restricted,Spectrum 2 Case,,,,,,2017.0
PP-Bizon,High Roller,Classified,Spectrum 2 Case,,,,,,2017.0
R8 Revolver,Llama Cannon,Classified,Spectrum 2 Case,,,,,,2017.0
M4A1-S,Leaded Glass,Classified,Spectrum 2 Case,,,,,,2017.0
AK-47,The Empress,Covert,Spectrum 2 Case,,,,,,2017.0
P250,See Ya Later,Covert,Spectrum 2 Case,,,,,,2017.0
SG 553,Aloha,Mil-Spec,Clutch Case,,,,,,2018.0
MP9,Black Sand,Mil-Spec,Clutch Case,,,,,,2018.0
XM1014,Oxide Blaze,Mil-Spec,Clutch Case,,,,,,2018.0
P2000,Urban Hazard,Mil-Spec,Clutch Case,,,,,,2018.0
R8 Revolver,Grip,Mil-Spec,Clutch Case,,,,,,2018.0
Five-SeveN,Flame Test,Mil-Spec,Clutch Case,,,,,,2018.0
PP-Bizon,Night Riot,Mil-Spec,Clutch Case,,,,,,2018.0
Nova,Wild Six,Restricted,Clutch Case,,,,,,2018.0
Negev,Lionfish,Restricted,Clutch Case,,,,,,2018.0
MAG-7,SWAG-7,Restricted,Clutch Case,,,,,,2018.0
UMP-45,Arctic Wolf,Restricted,Clutch Case,,,,,,2018.0
Glock-18,Moonrise,Restricted,Clutch Case,,,,,,2018.0
USP-S,Cortex,Classified,Clutch Case,,,,,,2018.0
AUG,Stymphalian,Classified,Clutch Case,,,,,,2018.0
AWP,Mortis,Classified,Clutch Case,,,,,,2018.0
MP7,Bloodsport,Covert,Clutch Case,,,,,,2018.0
M4A4,Neo-Noir,Covert,Clutch Case,,,,,,2018.0
Dual Berettas,Shred,Mil-Spec,Horizon Case,,,,,,2018.0
R8 Revolver,Survivalist,Mil-Spec,Horizon Case,,,,,,2018.0
MP9,Capillary,Mil-Spec,Horizon Case,,,,,,2018.0
AUG,Amber Slipstream,Mil-Spec,Horizon Case,,,,,,2018.0
Tec-9,Snek-9,Mil-Spec,Horizon Case,,,,,,2018.0
P90,Traction,Mil-Spec,Horizon Case,,,,,,2018.0
Glock-18,Warhawk,Mil-Spec,Horizon Case,,,,,,2018.0
Nova,Toy Soldier,Restricted,Horizon Case,,,,,,2018.0
G3SG1,High Seas,Restricted,Horizon Case,,,,,,2018.0
MP7,Powercore,Restricted,Horizon Case,,,,,,2018.0
CZ75-Auto,Eco,Restricted,Horizon Case,,,,,,2018.0
AWP,PAW,Restricted,Horizon Case,,,,,,2018.0
FAMAS,Eye of Athena,Classified,Horizon Case,,,,,,2018.0
Sawed-Off,Devourer,Classified,Horizon Case,,,,,,2018.0
M4A1-S,Nightmare,Classified,Horizon Case,,,,,,2018.0
Desert Eagle,Code Red,Covert,Horizon Case,,,,,,2018.0
AK-47,Neon Rider,Covert,Horizon Case,,,,,,2018.0
MP9,Modest Threat,Mil-Spec,Danger Zone Case,,,,,,2018.0
Glock-18,Oxide Blaze,Mil-Spec,Danger Zone Case,,,,,,2018.0
Nova,Wood Fired,Mil-Spec,Danger Zone Case,,,,,,2018.0
M4A4,Magnesium,Mil-Spec,Danger Zone Case,,,,,,2018.0
Sawed-Off,Black Sand,Mil-Spec,Danger Zone Case,,,,,,2018.0
SG 553,Danger Close,Mil-Spec,Danger Zone Case,,,,,,2018.0
Tec-9,Fubar,Mil-Spec,Danger Zone Case,,,,,,2018.0
G3SG1,Scavenger,Restricted,Danger Zone Case,,,,,,2018.0
Galil AR,Signal,Restricted,Danger Zone Case,,,,,,2018.0
MAC-10,Pipe Down,Restricted,Danger Zone Case,,,,,,2018.0
P250,Nevermore,Restricted,Danger Zone Case,,,,,,2018.0
USP-S,Flashback,Restricted,Danger Zone Case,,,,,,2018.0
UMP-45,Momentum,Classified,Danger Zone Case,,,,,,2018.0
Desert Eagle,Mecha Industries,Classified,Danger Zone Case,,,,,,2018.0
MP5-SD,Phosphor,Classified,Danger Zone Case,,,,,,2018.0
AK-47,Asiimov,Covert,Danger Zone Case,,,,,,2018.0
AWP,Neo-Noir,Covert,Danger Zone Case,,,,,,2018.0
FAMAS,Crypsis,Mil-Spec,Prisma Case,,,,,,2019.0
AK-47,Uncharted,Mil-Spec,Prisma Case,,,,,,2019.0
MAC-10,Whitefish,Mil-Spec,Prisma Case,,,,,,2019.0
Galil AR,Akoben,Mil-Spec,Prisma Case,,,,,,2019.0
MP7,Mischief,Mil-Spec,Prisma Case,,,,,,2019.0
P250,Verdigris,Mil-Spec,Prisma Case,,,,,,2019.0
P90,Off World,Mil-Spec,Prisma Case,,,,,,2019.0
AWP,Atheris,Restricted,Prisma Case,,,,,,2019.0
Tec-9,Bamboozle,Restricted,Prisma Case,,,,,,2019.0
Desert Eagle,Light Rail,Restricted,Prisma Case,,,,,,2019.0
MP5-SD,Gauss,Restricted,Prisma Case,,,,,,2019.0
UMP-45,Moonrise,Restricted,Prisma Case,,,,,,2019.0
R8 Revolver,Skull Crusher,Classified,Prisma Case,,,,,,2019.0
AUG,Momentum,Classified,Prisma Case,,,,,,2019.0
XM1014,Incinegator,Classified,Prisma Case,,,,,,2019.0
Five-SeveN,Angry Mob,Covert,Prisma Case,,,,,,2019.0
M4A4,The Emperor,Covert,Prisma Case,,,,,,2019.0
Tec-9,Flash Out,Mil-Spec,CS20 Case,,,,,,2019.0
SCAR-20,Assault,Mil-Spec,CS20 Case,,,,,,2019.0
Dual Berettas,Elite 1.6,Mil-Spec,CS20 Case,,,,,,2019.0
MAG-7,Popdog,Mil-Spec,CS20 Case,,,,,,2019.0
MAC-10,Classic Crate,Mil-Spec,CS20 Case,,,,,,2019.0
FAMAS,Decommissioned,Mil-Spec,CS20 Case,,,,,,2019.0
Glock-18,Sacrifice,Mil-Spec,CS20 Case,,,,,,2019.0
M249,Aztec,Restricted,CS20 Case,,,,,,2019.0
Five-SeveN,Buddy,Restricted,CS20 Case,,,,,,2019.0
UMP-45,Plastique,Restricted,CS20 Case,,,,,,2019.0
P250,Inferno,Restricted,CS20 Case,,,,,,2019.0
MP5-SD,Agent,Restricted,CS20 Case,,,,,,2019.0
P90,Nostalgia,Classified,CS20 Case,,,,,,2019.0
AUG,Death by Puppy,Classified,CS20 Case,,,,,,2019.0
MP9,Hydra,Classified,CS20 Case,,,,,,2019.0
FAMAS,Commemoration,Covert,CS20 Case,,,,,,2019.0
AWP,Wildfire,Covert,CS20 Case,,,,,,2019.0
Nova,Plume,Mil-Spec,Shattered Web Case,,,,,,2019.0
G3SG1,Black Sand,Mil-Spec,Shattered Web Case,,,,,,2019.0
R8 Revolver,Memento,Mil-Spec,Shattered Web Case,,,,,,2019.0
M249,Warbird,Mil-Spec,Shattered Web Case,,,,,,2019.0
SCAR-20,Torn,Mil-Spec,Shattered Web Case,,,,,,2019.0
MP5-SD,Acid Wash,Mil-Spec,Shattered Web Case,,,,,,2019.0
Dual Berettas,Balance,Mil-Spec,Shattered Web Case,,,,,,2019.0
PP-Bizon,Embargo,Restricted,Shattered Web Case,,,,,,2019.0
P2000,Obsidian,Restricted,Shattered Web Case,,,,,,2019.0
MP7,Neon Ply,Restricted,Shattered Web Case,,,,,,2019.0
AUG,Arctic Wolf,Restricted,Shattered Web Case,,,,,,2019.0
AK-47,Rat Rod,Restricted,Shattered Web Case,,,,,,2019.0
Tec-9,Decimator,Classified,Shattered Web Case,,,,,,2019.0
SSG 08,Bloodshot,Classified,Shattered Web Case,,,,,,2019.0
SG 553,Colony IV,Classified,Shattered Web Case,,,,,,2019.0
MAC-10,Stalker,Covert,Shattered Web Case,,,,,,2019.0
AWP,Containment Breach,Covert,Shattered Web Case,,,,,,2019.0
CZ75-Auto,Distressed,Mil-Spec,Prisma 2 Case,,,,,,2020.0
Negev,Prototype,Mil-Spec,Prisma 2 Case,,,,,,2020.0
R8 Revolver,Bone Forged,Mil-Spec,Prisma 2 Case,,,,,,2020.0
MP5-SD,Desert Strike,Mil-Spec,Prisma 2 Case,,,,,,2020.0
AUG,Tom Cat,Mil-Spec,Prisma 2 Case,,,,,,2020.0
Desert Eagle,Blue Ply,Mil-Spec,Prisma 2 Case,,,,,,2020.0
AWP,Capillary,Mil-Spec,Prisma 2 Case,,,,,,2020.0
P2000,Acid Etched,Restricted,Prisma 2 Case,,,,,,2020.0
SCAR-20,Enforcer,Restricted,Prisma 2 Case,,,,,,2020.0
Sawed-Off,Apocalypto,Restricted,Prisma 2 Case,,,,,,2020.0
SG 553,Darkwing,Restricted,Prisma 2 Case,,,,,,2020.0
SSG 08,Fever Dream,Restricted,Prisma 2 Case,,,,,,2020.0
MAG-7,Justice,Classified,Prisma 2 Case,,,,,,2020.0
MAC-10,Disco Tech,Classified,Prisma 2 Case,,,,,,2020.0
AK-47,Phantom Disruptor,Classified,Prisma 2 Case,,,,,,2020.0
M4A1-S,Player Two,Covert,Prisma 2 Case,,,,,,2020.0
Glock-18,Bullet Queen,Covert,Prisma 2 Case,,,,,,2020.0
SG 553,Ol' Rusty,Mil-Spec,Fracture Case,,,,,,2020.0
Negev,Ultralight,Mil-Spec,Fracture Case,,,,,,2020.0
P2000,Gnarled,Mil-Spec,Fracture Case,,,,,,2020.0
P250,Cassette,Mil-Spec,Fracture Case,,,,,,2020.0
P90,Freight,Mil-Spec,Fracture Case,,,,,,2020.0
PP-Bizon,Runic,Mil-Spec,Fracture Case,,,,,,2020.0
SSG 08,Mainframe 001,Mil-Spec,Fracture Case,,,,,,2020.0
MAG-7,Monster Call,Restricted,Fracture Case,,,,,,2020.0
Tec-9,Brother,Restricted,Fracture Case,,,,,,2020.0
Galil AR,Connexion,Restricted,Fracture Case,,,,,,2020.0
MP5-SD,Kitbash,Restricted,Fracture Case,,,,,,2020.0
MAC-10,Allure,Restricted,Fracture Case,,,,,,2020.0
XM1014,Entombed,Classified,Fracture Case,,,,,,2020.0
Glock-18,Vogue,Classified,Fracture Case,,,,,,2020.0
M4A4,Tooth Fairy,Classified,Fracture Case,,,,,,2020.0
AK-47,Legion of Anubis,Covert,Fracture Case,,,,,,2020.0
Desert Eagle,Printstream,Covert,Fracture Case,,,,,,2020.0
G3SG1,Digital Mesh,Mil-Spec,Broken Fang Case,,,,,,2020.0
M249,Deep Relief,Mil-Spec,Broken Fang Case,,,,,,2020.0
P250,Contaminant,Mil-Spec,Broken Fang Case,,,,,,2020.0
CZ75-Auto,Vendetta,Mil-Spec,Broken Fang Case,,,,,,2020.0
P90,Cocoa Rampage,Mil-Spec,Broken Fang Case,,,,,,2020.0
Galil AR,Vandal,Mil-Spec,Broken Fang Case,,,,,,2020.0
MP5-SD,Condition Zero,Mil-Spec,Broken Fang Case,,,,,,2020.0
UMP-45,Gold Bismuth,Restricted,Broken Fang Case,,,,,,2020.0
Dual Berettas,Dezastre,Restricted,Broken Fang Case,,,,,,2020.0
Nova,Clear Polymer,Restricted,Broken Fang Case,,,,,,2020.0
SSG 08,Parallax,Restricted,Broken Fang Case,,,,,,2020.0
AWP,Exoskeleton,Restricted,Broken Fang Case,,,,,,2020.0
Five-SeveN,Fairy Tale,Classified,Broken Fang Case,,,,,,2020.0
USP-S,Monster Mashup,Classified,Broken Fang Case,,,,,,2020.0
M4A4,Cyber Security,Classified,Broken Fang Case,,,,,,2020.0
Glock-18,Neo-Noir,Covert,Broken Fang Case,,,,,,2020.0
M4A1-S,Printstream,Covert,Broken Fang Case,,,,,,2020.0
UMP-45,Oscillator,Mil-Spec,Snakebite Case,,,,,,2021.0
Nova,Windblown,Mil-Spec,Snakebite Case,,,,,,2021.0
M249,O.S.I.P.R.,Mil-Spec,Snakebite Case,,,,,,2021.0
CZ75-Auto,Circaetus,Mil-Spec,Snakebite Case,,,,,,2021.0
R8 Revolver,Junk Yard,Mil-Spec,Snakebite Case,,,,,,2021.0
SG 553,Heavy Metal,Mil-Spec,Snakebite Case,,,,,,2021.0
Glock-18,Clear Polymer,Mil-Spec,Snakebite Case,,,,,,2021.0
Negev,dev_texture,Restricted,Snakebite Case,,,,,,2021.0
MAC-10,Button Masher,Restricted,Snakebite Case,,,,,,2021.0
P250,Cyber Shell,Restricted,Snakebite Case,,,,,,2021.0
Desert Eagle,Trigger Discipline,Restricted,Snakebite Case,,,,,,2021.0
AK-47,Slate,Restricted,Snakebite Case,,,,,,2021.0
XM1014,XOXO,Classified,Snakebite Case,,,,,,2021.0
Galil AR,Chromatic Aberration,Classified,Snakebite Case,,,,,,2021.0
MP9,Food Chain,Classified,Snakebite Case,,,,,,2021.0
M4A4,In Living Color,Covert,Snakebite Case,,,,,,2021.0
USP-S,The Traitor,Covert,Snakebite Case,,,,,,2021.0
AUG,Plague,Mil-Spec,Operation Riptide Case,,,,,,2021.0
Dual Berettas,Tread,Mil-Spec,Operation Riptide Case,,,,,,2021.0
G3SG1,Keeping Tabs,Mil-Spec,Operation Riptide Case,,,,,,2021.0
MP7,Guerrilla,Mil-Spec,Operation Riptide Case,,,,,,2021.0
PP-Bizon,Lumen,Mil-Spec,Operation Riptide Case,,,,,,2021.0
USP-S,Black Lotus,Mil-Spec,Operation Riptide Case,,,,,,2021.0
XM1014,Watchdog,Mil-Spec,Operation Riptide Case,,,,,,2021.0
MAG-7,BI83 Spectrum,Restricted,Operation Riptide Case,,,,,,2021.0
FAMAS,ZX Spectron,Restricted,Operation Riptide Case,,,,,,2021.0
Five-SeveN,Boost Protocol,Restricted,Operation Riptide Case,,,,,,2021.0
MP9,Mount Fuji,Restricted,Operation Riptide Case,,,,,,2021.0
M4A4,Spider Lily,Restricted,Operation Riptide Case,,,,,,2021.0
MAC-10,Toybox,Classified,Operation Riptide Case,,,,,,2021.0
Glock-18,Snack Attack,Classified,Operation Riptide Case,,,,,,2021.0
SSG 08,Turbo Peek,Classified,Operation Riptide Case,,,,,,2021.0
AK-47,Leet Museo,Covert,Operation Riptide Case,,,,,,2021.0
Desert Eagle,Ocean Drive,Covert,Operation Riptide Case,,,,,,2021.0
Five-SeveN,Scrawl,Mil-Spec,Dreams & Nightmares Case,,,,,,2021.0
MAC-10,Ensnared,Mil-Spec,Dreams & Nightmares Case,,,,,,2021.0
MAG-7,Foresight,Mil-Spec,Dreams & Nightmares Case,,,,,,2021.0
MP5-SD,Necro Jr.,Mil-Spec,Dreams & Nightmares Case,,,,,,2021.0
P2000,Lifted Spirits,Mil-Spec,Dreams & Nightmares Case,,,,,,2021.0
SCAR-20,Poultrygeist,Mil-Spec,Dreams & Nightmares Case,,,,,,2021.0
Sawed-Off,Spirit Board,Mil-Spec,Dreams & Nightmares Case,,,,,,2021.0
PP-Bizon,Space Cat,Restricted,Dreams & Nightmares Case,,,,,,2021.0
G3SG1,Dream Glade,Restricted,Dreams & Nightmares Case,,,,,,2021.0
M4A1-S,Night Terror,Restricted,Dreams & Nightmares Case,,,,,,2021.0
XM1014,Zombie Offensive,Restricted,Dreams & Nightmares Case,,,,,,2021.0
USP-S,Ticket to Hell,Restricted,Dreams & Nightmares Case,,,,,,2021.0
Dual Berettas,Melondrama,Classified,Dreams & Nightmares Case,,,,,,2021.0
FAMAS,Rapid Eye Movement,Classified,Dreams & Nightmares Case,,,,,,2021.0
MP7,Abyssal Apparition,Classified,Dreams & Nightmares Case,,,,,,2021.0
AK-47,Nightwish,Covert,Dreams & Nightmares Case,,,,,,2021.0
MP9,Starlight Protector,Covert,Dreams & Nightmares Case,,,,,,2021.0
Negev,Drop Me,Mil-Spec,Recoil Case,,,,,,2022.0
Galil AR,Destroyer,Mil-Spec,Recoil Case,,,,,,2022.0
UMP-45,Roadblock,Mil-Spec,Recoil Case,,,,,,2022.0
MAC-10,Monkeyflage,Mil-Spec,Recoil Case,,,,,,2022.0
FAMAS,Meow 36,Mil-Spec,Recoil Case,,,,,,2022.0
Glock-18,Winterized,Mil-Spec,Recoil Case,,,,,,2022.0
M4A4,Poly Mag,Mil-Spec,Recoil Case,,,,,,2022.0
M249,Downtown,Restricted,Recoil Case,,,,,,2022.0
P90,Vent Rush,Restricted,Recoil Case,,,,,,2022.0
Dual Berettas,Flora Carnivora,Restricted,Recoil Case,,,,,,2022.0
SG 553,Dragon Tech,Restricted,Recoil Case,,,,,,2022.0
R8 Revolver,Crazy 8,Restricted,Recoil Case,,,,,,2022.0
P250,Visions,Classified,Recoil Case,,,,,,2022.0
Sawed-Off,Kiss♥Love,Classified,Recoil Case,,,,,,2022.0
AK-47,Ice Coaled,Classified,Recoil Case,,,,,,2022.0
AWP,Chromatic Aberration,Covert,Recoil Case,,,,,,2022.0
USP-S,Printstream,Covert,Recoil Case,,,,,,2022.0
MP9,Featherweight,Mil-Spec,Revolution Case,,,,,,2023.0
MAG-7,Insomnia,Mil-Spec,Revolution Case,,,,,,2023.0
SCAR-20,Fragments,Mil-Spec,Revolution Case,,,,,,2023.0
P250,Re.built,Mil-Spec,Revolution Case,,,,,,2023.0
MP5-SD,Liquidation,Mil-Spec,Revolution Case,,,,,,2023.0
SG 553,Cyberforce,Mil-Spec,Revolution Case,,,,,,2023.0
Tec-9,Rebel,Mil-Spec,Revolution Case,,,,,,2023.0
M4A1-S,Emphorosaur-S,Restricted,Revolution Case,,,,,,2023.0
Glock-18,Umbral Rabbit,Restricted,Revolution Case,,,,,,2023.0
MAC-10,Sakkaku,Restricted,Revolution Case,,,,,,2023.0
R8 Revolver,Banana Cannon,Restricted,Revolution Case,,,,,,2023.0
P90,Neoqueen,Restricted,Revolution Case,,,,,,2023.0
AWP,Duality,Classified,Revolution Case,,,,,,2023.0
UMP-45,Wild Child,Classified,Revolution Case,,,,,,2023.0
P2000,Wicked Sick,Classified,Revolution Case,,,,,,2023.0
AK-47,Head Shot,Covert,Revolution Case,,,,,,2023.0
M4A4,Temukau,Covert,Revolution Case,,,,,,2023.0
